No,Stock Name,Valuation (100M KRW),Asset Class Weight (%),Ownership (%)
1092,세원정공,1,0.0,0.17
586,와이씨,32,0.0,0.38
54,삼성증권,5191,0.38,13.37
767,흥국화재,12,0.0,0.5
29,한국전력,9662,0.7,7.5
840,일신석재,8,0.0,0.5
300,CJ CGV,262,0.02,2.99
337,넥슨게임즈,199,0.01,2.26
993,인벤티지랩,3,0.0,0.15
513,이엔에프테크놀로지,49,0.0,2.03
215,DN오토모티브,609,0.04,5.63
629,컨텍,24,0.0,1.62
585,신흥에스이씨,32,0.0,1.61
761,로보티즈,12,0.0,0.39
273,화승엔터프라이즈,344,0.02,6.56
753,LG헬로비전,13,0.0,0.68
7,NAVER,28134,2.04,8.94
853,KCTC,8,0.0,0.65
238,다우기술,457,0.03,5.71
782,신라교역,11,0.0,0.75
131,롯데케미칼,1488,0.11,5.82
188,현대위아,784,0.06,7.63
816,경방,10,0.0,0.55
575,휴온스,34,0.0,1.05
444,디와이파워,73,0.01,5.94
800,노바텍,10,0.0,0.64
1091,한국제지,1,0.0,0.08
377,하나마이크론,129,0.01,2.11
186,테크윙,801,0.06,5.57
350,현대코퍼레이션,181,0.01,7.18
833,신원,9,0.0,0.57
4,삼성바이오로직스,46721,3.39,6.92
213,LX세미콘,613,0.04,6.62
240,에스에프에이,454,0.03,6.48
1112,핌스,1,0.0,0.26
743,삼영,14,0.0,1.08
692,대원전선,17,0.0,0.77
422,와이솔,91,0.01,6.45
1158,제테마,0,0.0,0.01
596,하이비젼시스템,30,0.0,1.14
552,동국씨엠,38,0.0,2.13
912,대성산업,6,0.0,0.38
265,HPSP,367,0.03,1.69
854,DL이앤씨우,8,0.0,2.26
795,HDC현대EP,10,0.0,0.91
18,메리츠금융지주,13180,0.95,6.65
669,조광피혁,20,0.0,0.55
941,아이엠비디엑스,5,0.0,0.31
1110,진양화학,1,0.0,0.15
151,코리안리,1186,0.09,7.66
148,HLB,1201,0.09,1.25
969,동부건설,4,0.0,0.43
615,NH올원리츠,26,0.0,1.79
895,셀트리온제약배당(보),6,0.0,0.0
134,F&F,1470,0.11,7.07
143,포스코DX,1333,0.1,4.6
1042,지어소프트,2,0.0,0.15
869,세운메디칼,7,0.0,0.67
690,바이오플러스,18,0.0,0.42
1138,에이플러스에셋,1,0.0,0.07
1021,하나기술,3,0.0,0.19
220,녹십자홀딩스,560,0.04,6.88
1168,에프에스티배당(보),0,0.0,0.0
1033,기신정기,2,0.0,0.3
1156,엔케이맥스,0,0.0,0.02
389,셀트리온제약,123,0.01,0.52
459,레이크머티리얼즈,65,0.0,0.91
251,삼천당제약,405,0.03,1.16
1150,인디에프,1,0.0,0.08
441,피엔티,75,0.01,0.83
464,우신시스템,64,0.0,6.08
142,신세계,1364,0.1,10.42
366,신성델타테크,149,0.01,0.47
1006,윤성에프앤씨,3,0.0,0.1
91,농심,2553,0.18,11.22
222,두산퓨얼셀,558,0.04,5.33
1174,KH 필룩스,0,0.0,0.02
646,부광약품,22,0.0,0.7
956,진원생명과학,4,0.0,0.25
726,아모레G3우(전환),15,0.0,1.22
877,KG이니시스,7,0.0,0.27
842,KEC,8,0.0,0.53
272,TCC스틸,347,0.03,4.86
401,롯데리츠,109,0.01,1.24
144,GS건설,1302,0.09,8.77
756,CR홀딩스,13,0.0,0.47
538,프로텍,42,0.0,1.74
965,크라운해태홀딩스,4,0.0,0.47
95,현대오토에버,2306,0.17,6.67
312,동국제강,242,0.02,6.09
497,한국정보통신,53,0.0,1.79
1128,LX하우시스우,1,0.0,0.35
68,포스코인터내셔널,4125,0.3,5.92
685,한국화장품제조,18,0.0,0.77
247,대주전자재료,410,0.03,3.54
146,롯데지주,1241,0.09,5.42
582,넥스트바이오메디컬,33,0.0,0.99
857,코오롱모빌리티그룹,8,0.0,0.51
346,HL홀딩스,184,0.01,5.46
1015,대한광통신,3,0.0,0.41
829,네오셈,9,0.0,0.23
281,원익IPS,313,0.02,2.86
411,대한제강,101,0.01,2.6
467,한진,63,0.0,2.21
376,디어유,135,0.01,1.58
762,교촌에프앤비무상(보),12,0.0,0.0
662,천보,20,0.0,0.56
72,아모레퍼시픽,3895,0.28,6.35
902,에스비비테크,6,0.0,0.53
107,SKC,2119,0.15,5.33
932,대영포장,5,0.0,0.44
69,NH투자증권,3949,0.29,8.65
488,파트론,56,0.0,1.38
509,삼성전기우,49,0.0,3.01
73,키움증권,3863,0.28,13.02
319,젬백스,229,0.02,3.87
808,NPC,10,0.0,0.62
1189,한화갤러리아우,0,0.0,0.09
1028,에스제이그룹,2,0.0,0.48
988,신영와코루,3,0.0,0.4
593,디앤씨미디어,30,0.0,1.16
666,이엠텍,20,0.0,0.41
589,교보증권,32,0.0,0.5
655,솔브레인홀딩스,21,0.0,0.28
778,태림포장,11,0.0,0.83
347,현대그린푸드,183,0.01,3.74
1127,에넥스,1,0.0,0.22
123,한전기술,1645,0.12,8.12
681,신대양제지,18,0.0,0.8
1080,네패스,1,0.0,0.09
676,태경비케이,19,0.0,1.52
566,대원강업,35,0.0,1.47
1051,유엔젤,2,0.0,0.22
505,기가비스,50,0.0,1.61
563,한국공항,36,0.0,2.01
858,와이엔텍,8,0.0,0.67
1068,노머스,1,0.0,0.06
1031,세보엠이씨,2,0.0,0.21
443,GST,73,0.01,2.34
126,한화솔루션,1629,0.12,5.88
338,주성엔지니어링,198,0.01,1.42
529,진시스템,43,0.0,7.18
417,신세계인터내셔날,94,0.01,2.61
849,YG PLUS,8,0.0,0.34
506,KPX케미칼,50,0.0,2.36
814,현대비앤지스틸,10,0.0,0.57
1170,삼화왕관,0,0.0,0.04
820,일성아이에스,9,0.0,0.45
298,메디톡스,268,0.02,2.94
489,우진,56,0.0,4.32
661,삼일제약,21,0.0,0.72
786,해태제과식품,11,0.0,0.63
321,일진하이솔루스,223,0.02,3.78
429,애경케미칼,82,0.01,2.47
650,현대리바트,22,0.0,1.38
205,동아쏘시오홀딩스,628,0.05,9.01
198,세방전지,700,0.05,6.96
557,한화리츠,38,0.0,0.6
852,HS화성,8,0.0,0.78
1172,주연테크,0,0.0,0.11
421,영풍,92,0.01,1.3
119,이마트,1769,0.13,10.0
203,이노션,646,0.05,8.33
972,덕성,4,0.0,0.35
878,HLB글로벌,7,0.0,0.34
515,동성케미컬,48,0.0,2.56
948,KTcs,4,0.0,0.39
1032,LB세미콘,2,0.0,0.14
458,안랩,66,0.0,0.9
793,삼성물산우B,11,0.0,0.83
1155,케이비아이동국실업,0,0.0,0.07
542,LS머트리얼즈,40,0.0,0.51
48,하이브,6054,0.44,7.52
654,제이브이엠,21,0.0,0.93
184,세아제강지주,805,0.06,10.76
540,오로스테크놀로지,41,0.0,2.71
407,SGC에너지,104,0.01,2.94
750,AJ네트웍스,13,0.0,0.67
1106,보해양조,1,0.0,0.15
172,실리콘투,971,0.07,4.88
256,엠로,401,0.03,5.11
435,카페24,78,0.01,0.95
386,코미코,123,0.01,3.22
1034,현대코퍼레이션홀딩스,2,0.0,0.23
15,삼성물산,14852,1.08,7.28
423,테스,90,0.01,2.95
896,동국S&C,6,0.0,0.45
486,아이마켓코리아,58,0.0,2.16
225,SK오션플랜트,530,0.04,6.95
911,큐렉소,6,0.0,0.21
784,한솔아이원스,11,0.0,0.59
190,코스메카코리아,747,0.05,12.64
700,에이블씨엔씨,17,0.0,0.93
697,동국홀딩스,17,0.0,0.72
17,삼성생명,13400,0.97,7.07
1055,유니테스트,2,0.0,0.09
224,이오테크닉스,535,0.04,3.12
570,상아프론테크,35,0.0,1.21
483,디아이티,59,0.0,2.49
554,콘텐트리중앙,38,0.0,2.23
881,미창석유,7,0.0,0.43
826,대신증권우,9,0.0,0.23
92,LG디스플레이,2532,0.18,5.55
301,태영건설,260,0.02,3.75
1090,현대건설우,1,0.0,0.27
243,SK케미칼,436,0.03,5.7
832,동화기업,9,0.0,0.21
165,DB하이텍,1021,0.07,6.94
168,종근당,993,0.07,8.47
1171,비상교육,0,0.0,0.04
780,남선알미늄,11,0.0,0.59
1064,페이퍼코리아,1,0.0,0.1
448,아이센스,70,0.01,1.66
1022,이아이디,3,0.0,0.07
682,영진약품,18,0.0,0.5
341,펄어비스,195,0.01,1.09
958,방림,4,0.0,0.23
280,한일시멘트,315,0.02,3.13
1063,팬엔터테인먼트,1,0.0,0.26
687,바이오다인,18,0.0,0.37
183,대상,828,0.06,12.44
226,오리온홀딩스,528,0.04,5.59
933,갤럭시아머니트리,5,0.0,0.16
512,금양,49,0.0,0.36
798,AK홀딩스,10,0.0,0.8
104,강원랜드,2161,0.16,6.33
292,HDC,280,0.02,3.93
713,오스테오닉,16,0.0,1.18
49,포스코퓨처엠,5921,0.43,5.37
781,제일약품,11,0.0,0.67
742,덕산테코피아,14,0.0,0.23
445,코람코라이프인프라리츠,73,0.01,1.82
510,노루페인트,49,0.0,3.11
354,엔켐,174,0.01,0.62
647,칩스앤미디어,22,0.0,0.67
56,삼양식품,4890,0.35,8.49
1169,이엔플러스,0,0.0,0.03
352,에스티아이,178,0.01,6.45
1166,국일제지,0,0.0,0.0
1105,광명전기,1,0.0,0.15
758,에어부산,12,0.0,0.46
2,SK하이닉스,95627,6.93,7.55
1018,금호에이치티,3,0.0,0.19
64,LG생활건강,4284,0.31,9.0
1107,에이프로젠바이오로직스,1,0.0,0.08
31,삼성전기,9388,0.68,10.16
942,유비벨록스,5,0.0,0.48
46,HD현대미포,6557,0.48,12.23
539,유바이오로직스,41,0.0,0.93
1159,유성기업,0,0.0,0.06
1199,국보,0,0.0,0.01
847,티로보틱스,8,0.0,0.59
1200,메타케어,0,0.0,0.0
230,HS효성첨단소재,499,0.04,6.37
33,현대글로비스,8878,0.64,10.03
555,에이프로젠,38,0.0,1.6
246,KCC글라스,412,0.03,6.87
1147,조광페인트,1,0.0,0.08
384,지아이이노베이션,125,0.01,3.19
619,퍼시스,26,0.0,0.54
263,HD현대마린엔진,379,0.03,4.57
607,일신방직,27,0.0,1.53
643,케어젠,23,0.0,0.15
903,휴비스,6,0.0,0.66
990,미래에셋글로벌리츠,3,0.0,0.31
325,금호타이어,220,0.02,1.61
723,일양약품,15,0.0,0.7
61,LS ELECTRIC,4453,0.32,9.23
187,코스모신소재,787,0.06,4.7
1017,오리엔탈정공,3,0.0,0.11
822,퓨런티어,9,0.0,0.41
192,하나투어,729,0.05,8.36
476,카카오게임즈,61,0.0,0.45
999,덕양산업,3,0.0,0.32
532,서부T&D,42,0.0,1.19
769,동화약품,12,0.0,0.66
918,키다리스튜디오,5,0.0,0.43
649,포스코스틸리온,22,0.0,1.25
39,우리금융지주,7808,0.57,6.84
837,싸이맥스,8,0.0,0.91
601,네오팜,29,0.0,1.5
286,유니드,303,0.02,6.2
176,오뚜기,912,0.07,5.75
63,현대로템,4374,0.32,8.07
874,SG글로벌,7,0.0,0.46
569,지씨셀,35,0.0,0.94
121,휠라홀딩스,1712,0.12,7.07
707,한화갤러리아,16,0.0,0.76
913,한솔홀딩스,6,0.0,0.56
548,티이엠씨,39,0.0,2.36
573,메지온,35,0.0,0.37
455,제이에스코퍼레이션,67,0.0,3.47
152,파마리서치,1174,0.09,4.26
208,대웅,626,0.05,4.98
1029,사조씨푸드,2,0.0,0.29
716,농우바이오,16,0.0,1.37
116,엘앤에프,1862,0.13,6.33
1001,미원화학,3,0.0,0.17
624,DI동일(배당),25,0.0,0.0
659,일동제약,21,0.0,0.64
1184,KCI,0,0.0,0.02
313,유진테크,239,0.02,3.33
181,펩트론,848,0.06,3.58
521,HDC랩스,45,0.0,2.02
961,국제약품,4,0.0,0.37
392,바이넥스,121,0.01,2.01
493,피에이치에이,54,0.0,2.56
686,무학,18,0.0,1.0
1140,씨티알모빌리티,1,0.0,0.13
699,원텍,17,0.0,0.43
74,한미약품,3813,0.28,10.61
976,무림페이퍼,4,0.0,0.41
923,제우스,5,0.0,0.14
465,수산인더스트리,63,0.0,2.28
955,수산중공업,4,0.0,0.36
457,휴메딕스,66,0.0,1.4
23,HD현대일렉트릭,10556,0.76,7.67
26,카카오,10196,0.74,6.02
1176,신한글로벌액티브리츠,0,0.0,0.02
1139,한화솔루션우,1,0.0,0.17
749,셀바스AI,13,0.0,0.42
893,녹십자웰빙,6,0.0,0.35
940,원익홀딩스,5,0.0,0.23
964,대현,4,0.0,0.38
460,티웨이항공,65,0.0,1.26
642,글로벌텍스프리,23,0.0,1.09
250,동서,406,0.03,1.49
1145,에스엠벡셀,1,0.0,0.04
438,송원산업,76,0.01,2.83
1188,LX홀딩스1우,0,0.0,0.06
1152,티웨이홀딩스,0,0.0,0.06
994,화천기공,3,0.0,0.55
1131,웅진,1,0.0,0.11
1009,일동홀딩스,3,0.0,0.3
182,더블유게임즈,838,0.06,7.23
1186,NH프라임리츠,0,0.0,0.01
652,백광산업,22,0.0,0.67
1144,영화금속,1,0.0,0.13
323,NICE평가정보,222,0.02,3.06
239,효성,455,0.03,5.8
517,에스피지,47,0.0,0.91
702,코리아에프티,16,0.0,1.34
810,슈프리마,10,0.0,0.55
565,코나아이,36,0.0,0.87
318,인터로조,231,0.02,7.01
268,브이티,361,0.03,2.52
1134,유니온,1,0.0,0.09
962,인천도시가스,4,0.0,0.37
889,한국주철관,6,0.0,0.45
770,서울반도체,12,0.0,0.27
720,하이트진로홀딩스,16,0.0,0.73
41,대한항공,7696,0.56,9.25
663,DB,20,0.0,0.77
973,미래에셋벤처투자,4,0.0,0.15
1036,파수,2,0.0,0.36
952,상신브레이크,4,0.0,0.71
656,예스코홀딩스,21,0.0,0.7
316,씨앤씨인터내셔널,232,0.02,5.08
150,한온시스템,1196,0.09,5.59
567,엘앤씨바이오,35,0.0,0.65
449,제이엘케이,70,0.01,3.36
977,동성제약,4,0.0,0.29
527,와이지-원,43,0.0,2.5
704,세아홀딩스,16,0.0,0.42
40,SK스퀘어,7734,0.56,7.23
127,리가켐바이오,1617,0.12,4.05
594,유안타증권,30,0.0,0.58
1047,대구백화점,2,0.0,0.32
613,광동제약,26,0.0,0.92
419,LX홀딩스,93,0.01,1.78
703,잇츠한불,16,0.0,0.7
1026,코람코더원리츠,2,0.0,0.14
404,한솔제지,107,0.01,5.21
452,파미셀,69,0.0,1.39
620,두산우,25,0.0,0.6
862,우진엔텍,7,0.0,0.56
37,고려아연,8171,0.59,3.92
342,삼화전기,193,0.01,9.37
1011,SG세계물산,3,0.0,0.41
499,현대차3우B,52,0.0,1.44
636,콜마비앤에이치,24,0.0,0.69
892,에프엔에스테크,6,0.0,0.91
802,일진다이아,10,0.0,0.64
133,리노공업,1477,0.11,5.06
884,미원홀딩스,7,0.0,0.36
42,LG,7618,0.55,6.72
641,클리오,23,0.0,0.74
442,아이쓰리시스템,74,0.01,2.33
959,아주스틸,4,0.0,0.4
139,DL이앤씨,1398,0.1,11.24
1143,갤럭시아에스엠,1,0.0,0.12
302,미래에셋생명,255,0.02,2.74
503,휴온스글로벌,50,0.0,0.92
1085,브릿지바이오테라퓨틱스,1,0.0,0.07
1097,계양전기,1,0.0,0.28
604,이리츠코크렙,28,0.0,1.06
625,한국토지신탁,25,0.0,0.99
1181,온타이드,0,0.0,0.06
1086,대덕전자1우,1,0.0,0.75
385,한화손해보험,124,0.01,2.64
1061,성창기업지주,2,0.0,0.17
305,SNT에너지,253,0.02,5.13
25,LG전자,10374,0.75,7.59
1010,진흥기업,3,0.0,0.24
844,그린케미칼,8,0.0,0.49
635,에스오에스랩,24,0.0,1.0
1175,플리토,0,0.0,0.02
468,세방,63,0.0,2.9
562,아나패스,36,0.0,1.46
576,제이앤티씨,34,0.0,0.31
207,동원시스템즈,626,0.05,5.35
772,코오롱글로벌,12,0.0,0.7
608,바이오니아,27,0.0,0.55
929,DL우,5,0.0,1.48
1104,한국비엔씨,1,0.0,0.04
803,에이엘티,10,0.0,1.17
980,한국특강,3,0.0,0.33
283,JW중외제약,307,0.02,5.5
947,SK케미칼우,5,0.0,1.07
1154,화인베스틸,0,0.0,0.15
734,JW생명과학,14,0.0,0.83
924,TP,5,0.0,0.71
228,ESR켄달스퀘어리츠,517,0.04,5.7
577,덕산하이메탈,34,0.0,1.92
745,현대바이오,14,0.0,0.24
747,한세예스24홀딩스,13,0.0,0.79
475,자화전자,61,0.0,2.33
76,두산,3616,0.26,8.58
564,딥노이드,36,0.0,2.94
672,삼성FN리츠,19,0.0,0.46
1079,보락,1,0.0,0.2
885,디와이피엔에프,6,0.0,0.47
360,위메이드,164,0.01,1.38
1101,셀리버리,1,0.0,0.04
223,영원무역홀딩스,546,0.04,4.81
170,DGB금융지주,974,0.07,7.03
870,삼익악기,7,0.0,0.68
953,디씨엠,4,0.0,0.33
255,성광벤드,401,0.03,6.18
752,SK디앤디,13,0.0,0.96
436,태광산업,77,0.01,1.14
409,HLB생명과학,103,0.01,0.84
1049,지엠비코리아,2,0.0,0.26
227,STX엔진,517,0.04,11.19
420,아세아제지,92,0.01,2.95
966,유니켐,4,0.0,0.26
801,사조산업,10,0.0,0.57
78,CJ,3597,0.26,12.44
587,네이처셀,32,0.0,0.23
876,계룡건설,7,0.0,0.59
418,삼천리,94,0.01,2.62
1096,새론오토모티브,1,0.0,0.18
1197,마니커,0,0.0,0.01
930,세이브존I&C,5,0.0,0.59
6,기아,28589,2.07,7.14
1037,동일고무벨트,2,0.0,0.22
1095,오리엔트바이오,1,0.0,0.06
269,티씨케이,360,0.03,4.35
673,한전산업,19,0.0,0.63
651,스마트레이더시스템,22,0.0,0.96
580,디앤디파마텍,33,0.0,0.64
545,유니퀘스트,40,0.0,2.78
633,씨에스베어링,24,0.0,2.0
936,신성통상,5,0.0,0.15
454,씨젠,68,0.0,0.58
53,HD현대,5213,0.38,8.33
235,덴티움,485,0.04,7.03
410,금호석유우,102,0.01,7.02
162,아모레G,1082,0.08,6.31
277,대신증권,325,0.02,3.99
103,현대제철,2166,0.16,7.71
724,KH바텍,15,0.0,0.78
614,메디포스트,26,0.0,0.66
290,삼양홀딩스,287,0.02,5.12
711,진양홀딩스,16,0.0,0.93
906,범한퓨얼셀,6,0.0,0.51
62,한미반도체,4443,0.32,5.57
115,한전KPS,1866,0.14,9.4
327,하이록코리아,220,0.02,7.1
3,LG에너지솔루션,51706,3.75,6.35
508,종근당(무상),50,0.0,0.0
991,LS증권,3,0.0,0.15
1,삼성전자,230421,16.7,7.26
1081,영보화학,1,0.0,0.18
579,바이오노트,33,0.0,0.69
140,셀트리온(배당),1381,0.1,0.0
891,제일파마홀딩스,6,0.0,0.5
828,코윈테크,9,0.0,0.62
981,글로벌텍스프리무상(보),3,0.0,0.0
1196,코퍼스코리아,0,0.0,0.01
371,롯데손해보험,142,0.01,2.27
864,다우데이타,7,0.0,0.19
331,제이알글로벌리츠,215,0.02,3.95
983,인지컨트롤스,3,0.0,0.38
710,아모텍,16,0.0,2.92
258,넥센타이어,394,0.03,6.71
22,HD한국조선해양,10583,0.77,6.55
432,신도리코,80,0.01,2.13
1060,휴비츠,2,0.0,0.16
446,쏘카,72,0.01,1.21
264,PI첨단소재,375,0.03,7.56
1087,사조오양,1,0.0,0.17
5,현대차,33529,2.43,7.55
883,대명에너지,7,0.0,0.34
30,KT&G,9517,0.69,7.09
403,신한알파리츠,108,0.01,1.58
1183,전방,0,0.0,0.04
691,코오롱,18,0.0,1.0
670,LG우,20,0.0,1.11
